No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
1,SaaS (General),"app, saas, software",Glassmorphism + Flat Design,"Soft UI Evolution, Minimalism",Hero + Features + CTA,Data-Dense + Real-Time,Trust blue + accent contrast,Balance modern feel with clarity
2,E-commerce,"commerce, shop, store",Vibrant & Block-based,"Aurora UI, Motion-Driven",Feature-Rich Showcase,Sales Intelligence,Brand primary + success green,Engagement & conversions
3,Healthcare App,"healthcare, medical",Neumorphism + Accessible,"Soft UI Evolution, Claymorphism",Social Proof-Focused,User Behavior Analytics,Calm blue + health green,Accessibility mandatory
4,Creative Agency,"agency, creative, design",Brutalism + Motion-Driven,"Retro-Futurism, Storytelling",Storytelling-Driven,N/A,Bold primaries + artistic freedom,Differentiation key
5,Portfolio/Personal,"portfolio, personal",Motion-Driven + Minimalism,"Brutalism, Aurora UI",Storytelling-Driven,N/A,Brand primary + artistic,Showcase work personality
6,Gaming,gaming,3D & Hyperrealism + Retro-Futurism,"Motion-Driven, Vibrant",Feature-Rich Showcase,N/A,Vibrant + neon + immersive,Immersion priority
7,Fintech/Crypto,"fintech, crypto, web3",Glassmorphism + Dark Mode,"Retro-Futurism, Motion-Driven",Conversion-Optimized,Real-Time Monitoring,Dark + trust + vibrant accents,Security perception
8,AI/Chatbot Platform,"ai, chatbot, ml",AI-Native UI + Minimalism,"Zero Interface, Glassmorphism",Interactive Product Demo,AI Analytics Dashboard,Neutral + AI Purple,Conversational UI streaming text
9,Beauty/Spa/Wellness,"beauty, spa, wellness",Soft UI Evolution + Neumorphism,"Glassmorphism, Minimalism",Hero-Centric + Social Proof,User Behavior Analytics,Soft pastels + Cream + Gold,Calming aesthetic booking system
10,Real Estate,"real, estate, property",Glassmorphism + Minimalism,"Motion-Driven, 3D",Hero-Centric + Feature-Rich,Sales Intelligence,Trust Blue + Gold + White,Property listings virtual tours
